what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1583180849899
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1583180849899
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1583180849899
java.specification.name,sysinfo,,,"Java Platform API Specification",1583180849899
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1583180849899
java.specification.version,sysinfo,,,"1.6",1583180849899
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1583180849899
java.version,sysinfo,,,"1.6.0_23",1583180849899
java.vm.info,sysinfo,,,"mixed mode",1583180849899
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1583180849899
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1583180849899
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1583180849899
java.vm.specification.version,sysinfo,,,"1.0",1583180849899
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1583180849899
java.vm.version,sysinfo,,,"19.0-b09",1583180849899
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1583180850145
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1583180854326
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583180856312
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1583180856604
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1583180856632
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1583180856653
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1583180859468
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1583180859510
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1583180862059
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1583180862064
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1583180862064
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1583180862065
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583180873401
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583180876332
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583180885128
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583180913011
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1583180932261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583180932350
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1583180934329
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583180934340
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583180934342
closed,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583180934388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583180934433
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1583180934439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1583180934439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583180937121
error,log,,,"Internal Error",1583180938689
error,log,,,"Problems encountered while deleting resources.",1583180938689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583180951293
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1583180951299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1583180951299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583180958772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583180961706
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1583180961711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1583180961711
started,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1583180966235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583180966780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181030134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181032436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181058890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181104827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181113136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181130400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181136306
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583181136373
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583181141350
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583181147507
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583181153234
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583181153234
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583181154938
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583181155029
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1583181155435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1583181166984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1583181171274
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583181172904
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583181180393
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1583181184392
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1583181186761
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583181189865
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583181193511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181211473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181211516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181212705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583181587960
