what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005699327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005894926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005900104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005905503
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583005905610
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1583005905726
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583005907006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005912185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005913420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005917479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005920739
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAutomatically",1583005958778
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAutomatically",1583005960747
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1583005964129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005977290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583005981212
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583005981240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583006019944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583006048428
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583006048436
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006049597
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583006105032
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1583006105213
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1583006105240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583006141552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583006158312
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006160919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1583006170942
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583006171683
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006183995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1583006186228
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1583006198550
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006198736
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006198854
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006209322
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006209983
closed,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006209984
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1583006211186
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006211710
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1583006211710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583006300003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583006344573
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583006344614
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1583006344737
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1583006344771
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006353900
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1583006353900
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1583006356598
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1583006356755
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1583006356787
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1583006359150
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1583006359150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583006366572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583006430597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1583006444637
